코드,지자체명
reg0001,강릉시
reg0002,강원도
reg0003,거제시
reg0004,경기도
reg0005,경상남도
reg0006,경상북도
reg0007,경주시
reg0008,고양시
reg0009,광명시
reg0010,광양시
reg0011,광주광역시
reg0012,구미시
reg0013,군산시
reg0014,김제시
reg0015,김천시
reg0016,김포시
reg0017,김해시
reg0018,금천구
reg0019,나주시
reg0020,남양주시
reg0021,남원시
reg0022,단양군
reg0023,대구광역시
reg0024,대전광역시
reg0025,동해시
reg0026,마산시
reg0027,목포시
reg0028,밀양시
reg0029,보령시
reg0030,부산광역시
reg0031,부천시
reg0032,사천시
reg0033,산청군
reg0034,서울특별시
reg0035,성남시
reg0036,성동구
reg0037,세종특별자치시
reg0038,속초시
reg0039,수원시
reg0040,순창군
reg0041,시흥시
reg0042,안산시
reg0043,안성시
reg0044,안양시
reg0045,양주시
reg0046,양산시
reg0047,용인시
reg0048,영광군
reg0049,영암군
reg0050,여수시
reg0051,옥천군
reg0052,완주군
reg0053,울산광역시
reg0054,울산북구
reg0055,울산남구
reg0056,울산동구
reg0057,울주군
reg0058,원주시
reg0059,의왕시
reg0060,익산시
reg0061,인천광역시
reg0062,인천남동구
reg0063,인천부평구
reg0064,인천서구
reg0065,인천남구
reg0066,전라남도
reg0067,전라북도
reg0068,전주시
reg0069,정읍시
reg0070,제주도
reg0071,제천시
reg0072,진주시
reg0073,진천군
reg0074,창원시
reg0075,창녕군
reg0076,청원군
reg0077,청주시
reg0078,춘천시
reg0079,충주시
reg0080,충청남도
reg0081,충청북도
reg0082,파주시
reg0083,포천시
reg0084,평택시
reg0085,포항시
reg0086,태백시
reg0087,하남시
reg0088,화성시
reg0089,횡성군
reg0090,농림축산식품부
reg0091,중소기업진흥공단
reg0092,한국방송통신전파진흥원
reg0093,한국장애인고용공단
reg0094,기술신용보증기금
reg0095,소상공인시장진흥공단
reg0096,근로복지공단
reg0097,국토교통부
reg0098,안양상공회의소
